county_fips_full,county_name,state,year,period,value,chg1,yoy,index_base100,freq,metric,source
02020,Anchorage,AK,2024,2024-12-31,641.81,0.05546967504275746,0.05546967504275746,365.39140335895246,A,hpi,hpi_at_county.csv
02090,Fairbanks North,AK,2024,2024-12-31,491.13,0.03293583191368543,0.03293583191368543,315.8798559300232,A,hpi,hpi_at_county.csv
02110,Juneau,AK,2024,2024-12-31,565.98,-0.003503706181664512,-0.003503706181664512,423.8598067849922,A,hpi,hpi_at_county.csv
02122,Kenai Peninsula,AK,2024,2024-12-31,316.09,0.07094697611384038,0.07094697611384038,390.2827509569083,A,hpi,hpi_at_county.csv
02130,Ketchikan Gatew,AK,2024,2024-12-31,412.48,0.1393216219202298,0.1393216219202298,395.1714887909561,A,hpi,hpi_at_county.csv
02150,Kodiak Island,AK,2024,2024-12-31,384.77,-0.021812635057836594,-0.021812635057836594,348.1451321027868,A,hpi,hpi_at_county.csv
02170,Matanuska Susit,AK,2024,2024-12-31,233.38,0.05774111675126914,0.05774111675126914,515.3013910355487,A,hpi,hpi_at_county.csv
02220,Sitka,AK,2024,2024-12-31,578.57,0.07739148246773819,0.07739148246773819,516.6726201107341,A,hpi,hpi_at_county.csv
04001,Apache,AZ,2024,2024-12-31,447.24,0.1465340442986054,0.1465340442986054,447.24,A,hpi,hpi_at_county.csv
04003,Cochise,AZ,2024,2024-12-31,629.19,0.052350766863469955,0.052350766863469955,339.53375424963576,A,hpi,hpi_at_county.csv
04005,Coconino,AZ,2024,2024-12-31,1240.01,0.0446324018769535,0.0446324018769535,597.7680293096798,A,hpi,hpi_at_county.csv
04007,Gila,AZ,2024,2024-12-31,761.98,0.01957583461564183,0.01957583461564183,472.6336682793698,A,hpi,hpi_at_county.csv
04009,Graham,AZ,2024,2024-12-31,384.78,0.04256645080878951,0.04256645080878951,384.78,A,hpi,hpi_at_county.csv
04012,La Paz,AZ,2024,2024-12-31,422.03,-0.05914481897627977,-0.05914481897627977,422.03,A,hpi,hpi_at_county.csv
04013,Maricopa,AZ,2024,2024-12-31,1208.89,0.04288376265981131,0.04288376265981131,524.8740882250783,A,hpi,hpi_at_county.csv
04015,Mohave,AZ,2024,2024-12-31,818.53,0.02545695994788333,0.02545695994788333,417.53213629871453,A,hpi,hpi_at_county.csv
04017,Navajo,AZ,2024,2024-12-31,616.99,0.029208647494495255,0.029208647494495255,508.8157677717302,A,hpi,hpi_at_county.csv
04019,Pima,AZ,2024,2024-12-31,1016.22,0.036514962975051635,0.036514962975051635,429.5460309409079,A,hpi,hpi_at_county.csv
04021,Pinal,AZ,2024,2024-12-31,719.97,0.02619763679641962,0.02619763679641962,446.9919910597877,A,hpi,hpi_at_county.csv
04023,Santa Cruz,AZ,2024,2024-12-31,286.23,0.0698987029492022,0.0698987029492022,286.23,A,hpi,hpi_at_county.csv
04025,Yavapai,AZ,2024,2024-12-31,763.8,0.03536620081061659,0.03536620081061659,538.5320454064724,A,hpi,hpi_at_county.csv
04027,Yuma,AZ,2024,2024-12-31,588.66,0.03990672531665673,0.03990672531665673,353.4646331211721,A,hpi,hpi_at_county.csv
05001,Arkansas,AR,2024,2024-12-31,338.23,0.13162032854896455,0.13162032854896455,286.6841837599593,A,hpi,hpi_at_county.csv
05003,Ashley,AR,2024,2024-12-31,244.97,0.030238035158549836,0.030238035158549836,234.8705656759348,A,hpi,hpi_at_county.csv
05005,Baxter,AR,2024,2024-12-31,356.71,0.0693386893698662,0.0693386893698662,362.0318684664569,A,hpi,hpi_at_county.csv
05007,Benton,AR,2024,2024-12-31,721.61,0.043015104430151,0.043015104430151,426.0302278899516,A,hpi,hpi_at_county.csv
05009,Boone,AR,2024,2024-12-31,264.69,0.06678220216024511,0.06678220216024511,264.69,A,hpi,hpi_at_county.csv
05015,Carroll,AR,2024,2024-12-31,262.21,0.140390553646762,0.140390553646762,262.21,A,hpi,hpi_at_county.csv
05019,Clark,AR,2024,2024-12-31,322.55,0.014946507237256101,0.014946507237256101,326.83149255243694,A,hpi,hpi_at_county.csv
05021,Clay,AR,2024,2024-12-31,222.63,0.01476822097634356,0.01476822097634356,222.63000000000002,A,hpi,hpi_at_county.csv
05023,Cleburne,AR,2024,2024-12-31,344.21,0.07471587361059084,0.07471587361059084,344.21,A,hpi,hpi_at_county.csv
05025,Cleveland,AR,2024,2024-12-31,183.92,-0.02491782419679789,-0.02491782419679789,183.92,A,hpi,hpi_at_county.csv
05027,Columbia,AR,2024,2024-12-31,280.29,0.09002877809753462,0.09002877809753462,280.29,A,hpi,hpi_at_county.csv
05029,Conway,AR,2024,2024-12-31,241.26,0.14525776132156087,0.14525776132156087,241.26,A,hpi,hpi_at_county.csv
05031,Craighead,AR,2024,2024-12-31,397.25,0.04153011195301648,0.04153011195301648,275.1801052923247,A,hpi,hpi_at_county.csv
05033,Crawford,AR,2024,2024-12-31,515.67,0.03894507797074587,0.03894507797074587,339.9498978179181,A,hpi,hpi_at_county.csv
05035,Crittenden,AR,2024,2024-12-31,405.88,-0.050728535678368436,-0.050728535678368436,249.84918436441984,A,hpi,hpi_at_county.csv
05037,Cross,AR,2024,2024-12-31,305.38,0.15937737281700848,0.15937737281700848,305.38,A,hpi,hpi_at_county.csv
05041,Desha,AR,2024,2024-12-31,176.73,0.18127130539402425,0.18127130539402425,176.73,A,hpi,hpi_at_county.csv
05043,Drew,AR,2024,2024-12-31,255.25,-0.002890737919450048,-0.002890737919450048,255.25000000000003,A,hpi,hpi_at_county.csv
05045,Faulkner,AR,2024,2024-12-31,460.93,0.05654884701783347,0.05654884701783347,321.56411329705594,A,hpi,hpi_at_county.csv
05047,Franklin,AR,2024,2024-12-31,245.57,0.06662902315076225,0.06662902315076225,245.56999999999996,A,hpi,hpi_at_county.csv
05049,Fulton,AR,2024,2024-12-31,182.16,-0.13045968781326078,-0.13045968781326078,182.16,A,hpi,hpi_at_county.csv
05051,Garland,AR,2024,2024-12-31,339.56,0.03647629803730035,0.03647629803730035,354.29883138564276,A,hpi,hpi_at_county.csv
05053,Grant,AR,2024,2024-12-31,239.08,0.022583404619332725,0.022583404619332725,239.08,A,hpi,hpi_at_county.csv
