GISJOIN,YEAR,FSTATUS,REGIONA,DIVISIONA,STATE,STATEA,SMSAA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,BLCK_GRPA,BLOCKA,EDINDA,ENUMDISTA,SCSAA,URB_AREAA,CDA,AIANHHA,MCDSEQNO,SEA,UATYPE,PLACDESC,CBD,INDSUBR,LONGITUD,LATITUDE,LANDAREA,AREANAME,SUPFLG01,SUPFLG02,SUPFLG03,SUPFLG04,SUPFLG05,SUPFLG06,SUPFLG07,SUPFLG08,SUPFLG09,SUPFLG10,SUPFLG11,SUPFLG12,SUPFLG13,SUPFLG14,SUPFLG15,SUPFLG16,SUPFLG17,SUPFLG18,SUPFLG19,SUPFLG20,SUPFLG21,C8J001,C8O001
"G2801110","1980","A","3","6","Mississippi","28",,"Perry","111",,,,,,,,,,,,,"07",,,,,,,,"PERRY COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","1","1","0","0","0","0","0","0","0",23200,76
"G2801130","1980","A","3","6","Mississippi","28",,"Pike","113",,,,,,,,,,,,,"03",,,,,,,,"PIKE COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","0","0",27600,88
"G2801150","1980","A","3","6","Mississippi","28",,"Pontotoc","115",,,,,,,,,,,,,"04",,,,,,,,"PONTOTOC COUNTY","0","0","0","1","0","0","0","1","0","0","0","0","0","1","1","0","0","0","0","0","1",27200,82
"G2801170","1980","A","3","6","Mississippi","28",,"Prentiss","117",,,,,,,,,,,,,"04",,,,,,,,"PRENTISS COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","1",25700,85
"G2801190","1980","A","3","6","Mississippi","28",,"Quitman","119",,,,,,,,,,,,,"01",,,,,,,,"QUITMAN COUNTY","0","0","0","1","0","0","0","0","0","0","0","0","1","0","1","0","0","0","0","1","0",19600,49
"G2801210","1980","A","3","6","Mississippi","28","3560","Rankin","121",,,,,,,,,,,,,"06",,,,,,,,"RANKIN COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",47100,175
"G2801230","1980","A","3","6","Mississippi","28",,"Scott","123",,,,,,,,,,,,,"06",,,,,,,,"SCOTT COUNTY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",22100,86
"G2801250","1980","A","3","6","Mississippi","28",,"Sharkey","125",,,,,,,,,,,,,"01",,,,,,,,"SHARKEY COUNTY","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1",28300,61
"G2801270","1980","A","3","6","Mississippi","28",,"Simpson","127",,,,,,,,,,,,,"06",,,,,,,,"SIMPSON COUNTY","0","0","0","0","1","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1",25700,92
"G2801290","1980","A","3","6","Mississippi","28",,"Smith","129",,,,,,,,,,,,,"06",,,,,,,,"SMITH COUNTY","0","0","0","1","1","0","0","1","0","0","0","0","1","1","1","0","0","0","0","0","0",23800,78
